"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"29",0.005,10000,1.5,0.4,70,0.2,1.19672155545278,0.211447077779853,0.992971705845755,0.121827559890483,0.0049985,6.96999774924975e-06,0.00546066666666667,6.45149005223963e-06,0.0045911,4.80307848282761e-06,100,">=1000",">=1000"
"30",0.005,10000,1.5,0.4,70,0.2,1.19672155545278,0.211447077779853,0.992971705845755,0.121827559890483,0.0049985,6.96999774924975e-06,0.00546066666666667,6.45149005223963e-06,0.0045911,4.80307848282761e-06,1000,"205","214.088333333333"
"31",0.005,10000,1.5,0.4,70,0.4,1.18147004965085,0.212592877091574,0.821767100931148,0.112500766078112,0.0050142,7.53426311437146e-06,0.00540893333333333,6.82064040902523e-06,0.00383083333333333,3.72958249972213e-06,100,"490","512.05"
"32",0.005,10000,1.5,0.4,70,0.4,1.18147004965085,0.212592877091574,0.821767100931148,0.112500766078112,0.0050142,7.53426311437146e-06,0.00540893333333333,6.82064040902523e-06,0.00383083333333333,3.72958249972213e-06,1000,"56","58.52"
"33",0.005,10000,2,0.7,23,0.2,2.12727162452237,0.211778358009265,1.6927435747648,0.144445440631236,0.00513746666666667,5.4644377281316e-06,0.0105733333333333,1.98095387351339e-05,0.0084562,1.34247564788263e-05,100,"494","494"
"34",0.005,10000,2,0.7,23,0.2,2.12727162452237,0.211778358009265,1.6927435747648,0.144445440631236,0.00513746666666667,5.4644377281316e-06,0.0105733333333333,1.98095387351339e-05,0.0084562,1.34247564788263e-05,1000,"83","83"
"35",0.005,10000,2,0.7,23,0.4,2.12630672853282,0.223642454149869,1.3261932157743,0.0987328584370829,0.00515533333333333,5.46658708458375e-06,0.0106013666666667,2.01120521496054e-05,0.00664156666666667,8.42263642436368e-06,100,"126","126"
"36",0.005,10000,2,0.7,23,0.4,2.12630672853282,0.223642454149869,1.3261932157743,0.0987328584370829,0.00515533333333333,5.46658708458375e-06,0.0106013666666667,2.01120521496054e-05,0.00664156666666667,8.42263642436368e-06,1000,"22","22"
"37",0.005,10000,2,0.4,29,0.2,1.96034966239187,0.342993854507702,1.58403132722724,0.281253231538506,0.00494656666666667,7.71097853840169e-06,0.00910783333333333,1.97114791319329e-05,0.00736326666666667,1.36562627498055e-05,100,"630","631.26"
"38",0.005,10000,2,0.4,29,0.2,1.96034966239187,0.342993854507702,1.58403132722724,0.281253231538506,0.00494656666666667,7.71097853840169e-06,0.00910783333333333,1.97114791319329e-05,0.00736326666666667,1.36562627498055e-05,1000,"107","107.214"
"39",0.005,10000,2,0.4,29,0.4,1.94927369271331,0.340848658668258,1.24261351229645,0.129011660857626,0.00504483333333333,7.59990660775814e-06,0.00919693333333333,1.88134284050239e-05,0.00595063333333333,8.74846241969545e-06,100,"166","166.276666666667"
