"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"39",0.005,10000,2,0.4,0.4,30,1.93452592363582,0.356570803413889,1.2302674949799,0.146707525056991,0.0052195,8.50991972324108e-06,0.0094182,2.04769610803601e-05,0.00606926666666667,9.67826154940536e-06,100,100.998501878808,"110","110.256666666667"
"40",0.005,10000,2,0.4,0.4,30,1.93452592363582,0.356570803413889,1.2302674949799,0.146707525056991,0.0052195,8.50991972324108e-06,0.0094182,2.04769610803601e-05,0.00606926666666667,9.67826154940536e-06,1000,15.479095499028,"22","22.0513333333333"
"41",0.0045,10000,2,0.1,0.2,56,1.28416839214577,0.611640683880005,1.05234911378681,0.242979261127337,0.00440416666666667,5.28484091919529e-06,0.0047378,4.07899082360787e-06,0.0040385,3.12612979326442e-06,100,869.962913254126,">=1000",">=1000"
"42",0.0045,10000,2,0.1,0.2,56,1.28416839214577,0.611640683880005,1.05234911378681,0.242979261127337,0.00440416666666667,5.28484091919529e-06,0.0047378,4.07899082360787e-06,0.0040385,3.12612979326442e-06,1000,177.123368656735,"189","221.508"
"43",0.0045,10000,2,0.1,0.4,55,1.29652375232165,0.519148699542724,0.890324550141028,0.202021332884848,0.00439273333333333,5.53892683783483e-06,0.00479506666666667,4.37573424030232e-06,0.0034189,2.48392076358786e-06,100,265.482789546473,"314","362.356"
"44",0.0045,10000,2,0.1,0.4,55,1.29652375232165,0.519148699542724,0.890324550141028,0.202021332884848,0.00439273333333333,5.53892683783483e-06,0.00479506666666667,4.37573424030232e-06,0.0034189,2.48392076358786e-06,1000,53.6806425922523,"48","55.392"
"45",0.02,100,1.5,0.7,0.2,11,1.13317433862434,1.8671224488115,0.910330158730159,1.32277822592666,0.0177933333333333,0.000150514126931199,0.01959,0.000498231310436812,0.0160566666666667,0.000379676681115928,10,2187.43952620392,">=1000",">=1000"
"46",0.02,100,1.5,0.7,0.2,11,1.13317433862434,1.8671224488115,0.910330158730159,1.32277822592666,0.0177933333333333,0.000150514126931199,0.01959,0.000498231310436812,0.0160566666666667,0.000379676681115928,50,797.96856738793,"611","2240.537"
"47",0.02,100,1.5,0.7,0.2,11,1.13317433862434,1.8671224488115,0.910330158730159,1.32277822592666,0.0177933333333333,0.000150514126931199,0.01959,0.000498231310436812,0.0160566666666667,0.000379676681115928,100,624.284895318877,"408","1496.136"
"48",0.02,100,1.5,0.7,0.4,9,1.05962843915344,1.74388280390724,0.718555026455026,1.03833058242028,0.0155133333333333,9.58351005890853e-05,0.0165033333333333,0.000407809258641769,0.0112766666666667,0.000247352573079916,10,924.539317976522,"720","2354.4"
