"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"11",0.005,1000,1.5,0.1,0.4,32,1.1700685858044,3.28645549756017,0.371694704249861,0.534938239996438,4.12233333333333,11.4291776147605,3.35933333333333,11.8855080582416,1.16333333333333,2.82559742136268,100,95.9834774565261,"170","891.31"
"12",0.005,1000,1.5,0.1,0.4,32,1.1700685858044,3.28645549756017,0.371694704249861,0.534938239996438,4.12233333333333,11.4291776147605,3.35933333333333,11.8855080582416,1.16333333333333,2.82559742136268,1000,55.1545776396452,"22","115.346"
"13",0.005,1000,2,0.7,0.2,16,5.6044897244306,38.4140916463418,3.11063578264371,15.4792611123912,4.62866666666667,17.2598648438368,18.9326666666667,188.615004557075,11.07,92.7486828942981,100,42.433237632646,"70","104.393333333333"
"14",0.005,1000,2,0.7,0.2,16,5.6044897244306,38.4140916463418,3.11063578264371,15.4792611123912,4.62866666666667,17.2598648438368,18.9326666666667,188.615004557075,11.07,92.7486828942981,1000,21.698165943703,"43","64.1273333333333"
"15",0.005,1000,2,0.7,0.4,18,5.39900301900907,40.0544132876152,1.38775450727032,3.7612667349755,5.38466666666667,24.8156367678115,19.5033333333333,174.987651439369,5.81666666666667,33.3668445037235,100,11.6339131591916,"19","28.7723333333333"
"16",0.005,1000,2,0.7,0.4,18,5.39900301900907,40.0544132876152,1.38775450727032,3.7612667349755,5.38466666666667,24.8156367678115,19.5033333333333,174.987651439369,5.81666666666667,33.3668445037235,1000,6.34497688799801,"10","15.1433333333333"
"17",0.005,1000,2,0.4,0.2,18,4.25788475101624,26.3065240314678,2.35221619290213,10.5247979943117,4.55466666666667,18.3197848171613,13.7636666666667,113.641026897855,8.07733333333333,55.3884823830166,100,62.7382975604989,"92","171.733333333333"
"18",0.005,1000,2,0.4,0.2,18,4.25788475101624,26.3065240314678,2.35221619290213,10.5247979943117,4.55466666666667,18.3197848171613,13.7636666666667,113.641026897855,8.07733333333333,55.3884823830166,1000,35.2598459290251,"46","85.8666666666667"
"19",0.005,1000,2,0.4,0.4,19,4.25056258678779,24.9448199659874,1.13134738354208,2.77434308641752,4.879,20.2277682560854,14.2233333333333,107.926764477048,4.339,21.0731033677893,100,18.5601531179831,"25","46.8583333333333"
"20",0.005,1000,2,0.4,0.4,19,4.25056258678779,24.9448199659874,1.13134738354208,2.77434308641752,4.879,20.2277682560854,14.2233333333333,107.926764477048,4.339,21.0731033677893,1000,10.8055513888456,"11","20.6176666666667"
