"","N","E_It","R0","k","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"12",1000,0.005,1.5,0.1,0.4,1.20572440968736,1.46661127332708,0.827519690929736,0.766091154464224,3.71566666666667,9.62336234300322,4.13033333333333,15.4138178281649,2.84833333333333,8.09402856507725,1000,376.386423356863,"25","125.616666666667"
"13",1000,0.005,2,0.7,0.2,1.9823835337917,2.10756845369402,1.60184188599285,1.51998107165361,10.0933333333333,77.2216961209292,16.4003333333333,147.545915193954,13.4633333333333,106.550172279649,100,258.315062431377,"259","419.148333333333"
"14",1000,0.005,2,0.7,0.2,1.9823835337917,2.10756845369402,1.60184188599285,1.51998107165361,10.0933333333333,77.2216961209292,16.4003333333333,147.545915193954,13.4633333333333,106.550172279649,1000,88.8879470060028,"37","59.8783333333333"
"15",1000,0.005,2,0.7,0.4,1.93147925911059,2.20417654759822,1.22514932732004,0.871734998832391,10.1016666666667,77.7725880849172,16.214,151.113241747249,10.8006666666667,77.5114367011226,100,65.7155523501371,"64","102.784"
"16",1000,0.005,2,0.7,0.4,1.93147925911059,2.20417654759822,1.22514932732004,0.871734998832391,10.1016666666667,77.7725880849172,16.214,151.113241747249,10.8006666666667,77.5114367011226,1000,22.3844493811367,"9","14.454"
"17",1000,0.005,2,0.4,0.2,1.78245474777709,2.05854609539516,1.44522650130144,1.3033555892334,8.503,55.3744491497166,12.5983333333333,92.83794320329,10.4476666666667,68.5387741469379,100,391.051708485095,"353","714.825"
"18",1000,0.005,2,0.4,0.2,1.78245474777709,2.05854609539516,1.44522650130144,1.3033555892334,8.503,55.3744491497166,12.5983333333333,92.83794320329,10.4476666666667,68.5387741469379,1000,159.735562401333,"46","93.15"
"19",1000,0.005,2,0.4,0.4,1.78227464065586,1.9831814144003,1.1535741285509,0.879354628501801,8.26,53.5975991997332,12.305,91.6658636212071,8.28533333333333,47.4077207958208,100,104.471617351773,"84","167.244"
"20",1000,0.005,2,0.4,0.4,1.78227464065586,1.9831814144003,1.1535741285509,0.879354628501801,8.26,53.5975991997332,12.305,91.6658636212071,8.28533333333333,47.4077207958208,1000,42.0751243777095,"12","23.892"
"21",1000,0.005,2,0.1,0.2,1.54596235494079,1.7020535309171,1.27733665545469,1.29572930691194,6.15,25.1538846282094,7.90866666666667,34.8352699788818,6.619,26.7020730243414,100,1249.53170316784,"568","2081.34133333333"
"22",1000,0.005,2,0.1,0.2,1.54596235494079,1.7020535309171,1.27733665545469,1.29572930691194,6.15,25.1538846282094,7.90866666666667,34.8352699788818,6.619,26.7020730243414,1000,810.915885688293,"70","256.503333333333"
"23",1000,0.005,2,0.1,0.4,1.58756093873634,2.1214148003972,1.03621455059372,1.00356408596324,6.08533333333333,25.4005183950206,7.815,34.9904384794932,5.34133333333333,19.3906217628098,100,273.371148535501,"142","509.543333333333"
"24",1000,0.005,2,0.1,0.4,1.58756093873634,2.1214148003972,1.03621455059372,1.00356408596324,6.08533333333333,25.4005183950206,7.815,34.9904384794932,5.34133333333333,19.3906217628098,1000,175.486255559335,"15","53.825"
"25",10000,0.005,1.5,0.7,0.2,1.49867003553107,0.290390508317039,1.2230868752311,0.208257160869993,25.5013333333333,196.827607424697,36.9073333333333,439.578605757475,30.239,301.796477825942,100,1132.50963927319,">=1000",">=1000"
"26",10000,0.005,1.5,0.7,0.2,1.49867003553107,0.290390508317039,1.2230868752311,0.208257160869993,25.5013333333333,196.827607424697,36.9073333333333,439.578605757475,30.239,301.796477825942,1000,143.558944118395,"104","104.242666666667"
"27",10000,0.005,1.5,0.7,0.4,1.50388018614836,0.340502110784319,0.990172434672772,0.122541809143878,25.5073333333333,201.755864843837,37.343,466.872308436145,24.7413333333333,211.741005223964,100,299.053506102801,"251","251.669333333333"
"28",10000,0.005,1.5,0.7,0.4,1.50388018614836,0.340502110784319,0.990172434672772,0.122541809143878,25.5073333333333,201.755864843837,37.343,466.872308436145,24.7413333333333,211.741005223964,1000,38.2815380934642,"25","25.0666666666667"
"29",10000,0.005,1.5,0.4,0.2,1.51036818234563,0.479522994872155,1.23726921647968,0.380299499205937,17.964,145.507206402134,25.97,319.945081693898,21.1966666666667,219.915960875848,100,1677.7923356358,">=1000",">=1000"
"30",10000,0.005,1.5,0.4,0.2,1.51036818234563,0.479522994872155,1.23726921647968,0.380299499205937,17.964,145.507206402134,25.97,319.945081693898,21.1966666666667,219.915960875848,1000,233.393182931793,"146","148.19"
