"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","lower_bound","sufficient_ncluster","adjusted_sufficient_ncluster"
"11",0.005,1000,1.5,0.1,0.4,32,1.27427554947763,2.71696488799717,0.575076889601079,0.831966283862525,4.12233333333333,11.4291776147605,4.029,14.1342037345782,1.918,5.13898899633211,100,155.18036216116,"205","1074.815"
"12",0.005,1000,1.5,0.1,0.4,32,1.27427554947763,2.71696488799717,0.575076889601079,0.831966283862525,4.12233333333333,11.4291776147605,4.029,14.1342037345782,1.918,5.13898899633211,1000,91.3938067429452,"28","146.804"
"13",0.005,1000,2,0.7,0.2,16,3.76774374149467,15.6207826437084,2.42322396304455,7.54962517977257,4.62866666666667,17.2598648438368,14.5766666666667,158.769045237301,9.51333333333333,78.3846170945871,100,90.5580036140329,"138","205.804"
"14",0.005,1000,2,0.7,0.2,16,3.76774374149467,15.6207826437084,2.42322396304455,7.54962517977257,4.62866666666667,17.2598648438368,14.5766666666667,158.769045237301,9.51333333333333,78.3846170945871,1000,39.3822394452955,"64","95.4453333333333"
"15",0.005,1000,2,0.7,0.4,18,3.77477450543232,15.8882964563328,1.37258410565258,2.23338411642885,5.38466666666667,24.8156367678115,15.8753333333333,157.514296320996,6.35033333333333,37.2120038901856,100,20.847786237716,"33","49.973"
"16",0.005,1000,2,0.7,0.4,18,3.77477450543232,15.8882964563328,1.37258410565258,2.23338411642885,5.38466666666667,24.8156367678115,15.8753333333333,157.514296320996,6.35033333333333,37.2120038901856,1000,9.4579357957609,"14","21.2006666666667"
"17",0.005,1000,2,0.4,0.2,18,3.20318280475052,12.7015242828459,1.99403253230119,5.40721237919052,4.55466666666667,18.3197848171613,11.91,105.701133711237,7.81333333333333,56.7313993553407,100,109.07119003089,"158","294.933333333333"
"18",0.005,1000,2,0.4,0.2,18,3.20318280475052,12.7015242828459,1.99403253230119,5.40721237919052,4.55466666666667,18.3197848171613,11.91,105.701133711237,7.81333333333333,56.7313993553407,1000,55.0669833633819,"64","119.466666666667"
"19",0.005,1000,2,0.4,0.4,19,3.13620222504825,11.1133515420211,1.20720171195884,2.11057956940356,4.879,20.2277682560854,12.174,99.9050256752251,5.07433333333333,26.105509725464,100,33.4814188399205,"45","84.345"
"20",0.005,1000,2,0.4,0.4,19,3.13620222504825,11.1133515420211,1.20720171195884,2.11057956940356,4.879,20.2277682560854,12.174,99.9050256752251,5.07433333333333,26.105509725464,1000,16.9470766514996,"16","29.9893333333333"
